,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
254196,Professional Salaries,Basic Educational Services,,T-HS SPANISH,,General,School ,1.0,Instruction,,,54113.4375915,,,General Fund,
49843,Salaries And Wages For Substitute Professionals,Bilingual Education And Special Language Programs,Operations,TEACHER SUBSTITUTE POOL,All Campus Payroll,Salaries And Wages For Substitute Teachers,School ,,Instruction,DEGREED SUBSTITUTE,,94.56798611100001,,,General Operating Fund,REGULAR PAY
312418,Personal Services - Substitute Teachers Certified,Instruction - SPED,,,,,,0.0,,SUBSTITUTE TEACHER,Special Education Instruction,70.26,,,General Purpose School,
365988,SALARIES OF REGULAR EMPLOYEES,PSYCHOLOGICAL SERVICES,GENERAL FUND,Psychologist ,,,PSYCHOLOGICAL SERVICES,0.225007267529,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,21416.3751855,PSYCHOLOGICAL SERVICES,n/a,,STUDENTS
374144,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,INSTRUCTIONAL TECHNOLOGY      ,,EXEC DIR INFO/INSTRUC TECH SER,0.0,INST STAFF TRAINING SVCS      ,,,81.84,,,GENERAL FUND                  ,EXEC DIR OF IT                
35325,Salaries And Wages For Teachers And Other Professi,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",SKILLS SPECIALIST,Instruction And Curriculum,Extended Year,Summer School,,Instruction,TEACHER MASTER,,1458.97985562,,,"""Title  Part A Improving Basic Programs""",EXTENDED YEAR
65619,General Supplies,Accelerated Education,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,5667.64,,,General Fund,
159497,General Supplies,Services To Students With Disabilities (Special Education),,,Instruction And Curriculum,Capital Supplies ( Unit Cost  and > ,School ,,"""Guidance, Counseling And Evaluation Services""",,"Comp to write assessment reports, TBA's, core tests, ARD",978.14,SUPPLIES & MATERIALS,,Idea Part B Formula,
122228,Professional Salaries,Basic Educational Services,, MATH,,General,School ,1.0,Instruction,,,53436.85021619999,,,General Fund,
42299,SALARIES OF PART TIME EMPLOYEE,MALE ATHLETICS/SPORTS ACTIVITI,PUPIL ACTIVITY FUND,Misc Fee Basis ,,,ATHLETICS & STUDENT ACTIVITIES,,NON-PROJECT,OFFICE/ADMINISTRATIVE SUPPORT,,82.59,ATHLETICS,n/a,,COCURRICULAR ED/ACTIVITIES
300308,Salaries for Support Personnel,Undistributed,,FOOD PROD SP V,,General,School ,0.84375,Food Services,,,23582.2002223,,,Nat'l Schl Breakfast & Lunch Prog.,
103309,Salaries for Support Personnel,Undistributed,,PUBLIC AFF SPEC,,General,Office of Planning and Community Relations,1.0,General Administration,,,59107.7811252,,,General Fund,
169733,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,School Leadership,,,552.0237362519999,,,General Fund,
315704,Professional Salaries,Basic Educational Services,, SOC SCI,,General,School ,1.0,Instruction,,,69730.14319059999,,,General Fund,
60928,SALARIES OF PART TIME EMPLOYEE,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Short Term Sub ",,,,0.004310344827590001,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,110.427938468,TEACHER SUBS,Regular,,REGULAR INSTRUCTION
169907,"Water,Wastewater, Sanitation",Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,15490.87,,,General Fund,
434379,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,School ,,School Leadership,,,524.770856523,,,General Fund,
106847,Salaries for Support Personnel,Undistributed,,TRUCK DRIVER IV,,General,Central Warehouse,1.0,Plant Maintenance & Operations,,,44182.9149955,,,General Fund,
76944,Employee Allowance,Special Education,,TRAVEL,,General,State Deaf,,Instructional Leadership,,,2871.67568947,,,General Fund,
46693,Personal Services - Substitute Teachers Certified,Instruction - Regular,,,,,,0.0,,SUBSTITUTE TEACHER,Regular Instruction,143.30677481100003,,,General Purpose School,
13007,Extra Duty/Overtime,Special Education,,,,General,Special Education,,Instructional Leadership,,,0.52,,,IDEA-B Formula,
95258,General Supplies,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,22852.47,,,General Fund,
342326,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION, MILL LEVY,"Teacher, Elementary ",,,,,ARTS ED,PROFESSIONAL-INSTRUCTIONAL,,20.4,,Regular,,REGULAR INSTRUCTION
319158,General Supplies,Basic Educational Services,,,,Science,,,Instruction,,,100.17,,,General Fund,
255176,Software,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,3999.71,,,Title I- Part A,
412081,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, VAR VOLLEYB",,General,School ,,Cocurricular & Extra Curricular Activities,,,6718.89347421,,,Athletics,
258757,Extra Duty/Signing Bonus Pay,Gifted and Talented,,,,General,School ,,Instruction,,,0.18,,,General Fund,
163972,,PUPIL TRANSPORTATION,,Bus Driver                              ,,,Transportation,1.0,,BUS DRIVER                              ,,30441.6670689,,,General Fund,
168116,Salaries for Support Personnel,Undistributed,,ADMIN ASST II,,General,School ,1.0,School Leadership,,,47519.3387085,,,General Fund,
449156,General Supplies,Athletics and Related,,,,Girls Soccer,School ,,Cocurricular & Extra Curricular Activities,,,1699.79,,,Athletics,
398970,OTHER PERSONAL SERVICES       ,,,CLERICAL/TCHR ASST SUB        ,,,School ,0.0,INST STAFF TRAINING SVCS      ,,,55.11,,,GENERAL FUND                  ,
324210,SALARIES OF PART TIME EMPLOYEE,ADULT BASIC EDUCATION,FEDERAL GDPG FUND - FY ,"Opp Teacher, Non-Voc ",,,OPPORTUNITY SCHOOL,0.53286637931,AEFLA EXPANSION GRANT,PROFESSIONAL-INSTRUCTIONAL,,30036.510685600002,ADULT VOC ED OPPORTUNITY,Alternative,,EDUCATION FOR ADULTS
405782,Classroom Supplies,,Support Services - Instructional Staff,,,General Supplies *,,,Instruction And Curriculum Development Services *,,,-1661.03,,,Special Trust,ITEMS FOUNDATION-JULY 
172355,SALARIES OF PART TIME EMPLOYEE,TECHNICAL ED/COMPUTER TECH,FEDERAL GDPG FUND - FY ,Career Education Para ,,,,,CARL PERKINS,PARAPROFESSIONAL,,539.43608,,Alternative,,VOCATIONAL EDUCATION
55357,General Supplies,Basic Educational Services,,,,Foreign Language,School ,,Instruction,,,1799.31,,,General Fund,
383772,Misc Operating Expenses,Accelerated Education,,,,Line Item that is paid with Campus' money,School ,,"Guidance, Counseling and Evaluation Services",,,199.58,,,General Fund,
327834,Extra Duty/Overtime,Undistributed,,,,General,Office of Facilities,,Plant Maintenance & Operations,,,545.039225545,,,General Fund,
57127,Part-Time Hourly,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Security & Monitoring Servicess,,,8711.514729,,,General Fund,
170883,Personal Services - Super / Dir / Supv,District Administration,,PSYCHOLOGIST,STUDENT SUPPORT SERVICES,,Central Office,0.0,,PSYCHOLOGICAL ,Special Education Support,6518.8699,,,General Purpose School,
5515,Personal Services - Substitute Teachers Certified,Instruction - CTE,,,,,,0.0,,SUBSTITUTE TEACHER,Career & Technical Instruction,177.07,,,General Purpose School,
66884,SALARIES OF REGULAR EMPLOYEES,STAFF SERVICES,GENERAL FUND,Business Services Spec ,,,PAYROLL,0.75,NON-PROJECT,PROFESSIONAL-OTHER,,41902.28312059998,PAYROLL,n/a,,CENTRAL
133110,Salaries for Support Personnel,Undistributed,,V/H SCREENER,,General,Health Services,0.5,Health Services,,,13809.7605134,,,General Fund,
306672,EMPLOYEE BENEFITS,MALE ATHLETICS/SPORTS ACTIVITI,PUPIL ACTIVITY FUND,Misc Fee Basis ,,,ATHLETICS & STUDENT ACTIVITIES,,NON-PROJECT,OFFICE/ADMINISTRATIVE SUPPORT,,91.91,ATHLETICS,n/a,,COCURRICULAR ED/ACTIVITIES
291724,,,Support Services - Instructional Staff,,,General Supplies *,,,Instruction And Curriculum Development Services *,,,-582.36,,,Special Trust,ITEMV-VARIOUS GRANTS
257328,EMPLOYER PD MED CONTRIBUTION,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Elementary ",,,,,ELA E-TEACHING SHELTERED ENG,PROFESSIONAL-INSTRUCTIONAL,,83.33,,Regular,,REGULAR INSTRUCTION
20012,Personal Services - Substitute Teachers Certified,Instruction - SPED,,,,,,0.0,,SUBSTITUTE TEACHER,Special Education Instruction,354.2599,,,General Purpose School,
91446,EXTRA DUTY PAY-INSTRUCTIONAL  ,,,"TEACHER, DR PREV-HIGH         ",,,School ,,BASIC (FEFP K-12)             ,,,676.53,,,FEDERAL DIRECT                ,SMALLER LEARN COMM
297897,Salaries for Support Personnel,Special Education,,BUS DRIVER,,General,Transportation Office,0.8958,Student Transportation,,,26156.258416900004,,,General Fund,
6208,SALARIES OF PART TIME EMPLOYEE,GENERAL ELEMENTARY EDUCATION,LEVY OVERRIDE,"Tutor, Hourly ",,,,0.500808189655,INDIAN FOCUS,PROFESSIONAL-OTHER,,18020.872636400003,HUMANITIES,Regular,,REGULAR INSTRUCTION
391654,Extra Duty/Signing Bonus Pay,Undistributed,,TRANSITION FAC,,General,School ,,Cocurricular & Extra Curricular Activities,,,2502.57067145,,,General Fund,
374424,,PROGRAM FOR INTELLECTUALLY GIFTED STUDENTS: CATEGORY VI,,Teacher,,,,1.0,,MS SOCIAL SCIENCE ,,86853.02,,,General Fund,
403856,Reading Materials,Undistributed,,,Instruction and Curriculum,Reading Materials,School ,,Extracurricular Activities,,Undistributed,639.1700000000002,,,General Operating Fund,
27771,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Elementary ",,,,,ELA E-TEACHING SHELTERED ENG,PROFESSIONAL-INSTRUCTIONAL,,812.97,,Regular,,REGULAR INSTRUCTION
236424,Miscellaneous Operating Costs,Undistributed,,,,Incentives (Participatory Activity),School ,,Extracurricular Activities,,,132.16,,,Campus Activity Funds,
314912,BONUSES                       ,,,BUS DRIVER                    ,,,TRANSPORTATION                ,0.0,PUPIL TRANSPORTATION SERVICES ,,,56.81,,,GENERAL FUND                  ,
197421,Personal Services - Teachers,Instruction - Regular,,,,,,1.0,,TEACHER,Regular Instruction,7425.01,,,General Purpose School,
186273,Personal Services - Teachers,Support - Regular Instruction,,,INSTRUCTIONAL COACHING,,District Wide Resources,0.0,,TIME CARD CERTIFIEDAddl,First Class,279.81,,,School Projects,First Class
7093,Part-Time Hourly,Undistributed,,,,Line Item that is paid with Campus' money,School ,,School Leadership,,,0.78,,,General Fund,
147912,Professional Salaries,Undistributed,,LIBRARIAN- MS,,General,School ,1.0,Instructional Resource & Media Services,,,55799.666539,,,General Fund,
208608,SALARIES OF REGULAR EMPLOYEES,GUIDANCE SERVICES,GENERAL FUND,"School Counselor, Midd Sch ",,,,,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,2972.72456,,Regular,,STUDENTS
419842,SALARIES OF REGULAR EMPLOYEES,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Elementary ",,,,,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,109.22,,Regular,,REGULAR INSTRUCTION
347395,Professional Salaries,Basic Educational Services,,T-HS MATH,,General,School ,1.0,Instruction,,,54112.4275915,,,General Fund,
218348,Salaries And Wages For Teachers And Other Professi,Undistributed,Operations,"COUNSELOR, REGULAR",All Campus Payroll,Salaries And Wages For Teachers And Other Professi,School ,0.65,"""Guidance, Counseling And Evaluation Services""",COUNSELOR MIDDLE SCHOOL,Undistributed,42126.61691010001,,,General Operating Fund,REGULAR PAY
254217,EMPLOYEE BENEFITS,SPECIAL EDUCATION,GENERAL FUND,Elementary Spec Ed Para ,,,,,SPECIAL ED. - SEVERE NEEDS,PARAPROFESSIONAL,,1056.27,SEVERE DISABILITIES,Regular,,SPECIAL EDUCATION
396706,Salaries for Support Personnel,Undistributed,,FOOD PROD SP I,,General,School ,0.78125,Food Services,,,21890.1452691,,,Nat'l Schl Breakfast & Lunch Prog.,
392498,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Elementary ",,,PERSONNEL-PAID LEAVE,,EMPLOYEE RETIREMENT,UNDESIGNATED,,761.4699999999998,,n/a,,EMPLOYEE BENEFITS
166322,Professional Salaries,Accelerated Education,,T-HS ENGLISH,,Cycle  (used for grants),School ,0.17,Instruction,,,10896.1981898,,,Literacy Initiative (Effective ,
317489,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Elementary ",,,,,NON-PROJECT,UNDESIGNATED,,-1168.03,,n/a,,EMPLOYEE BENEFITS
263818,Extra Duty/Overtime,Undistributed,,,,General,School ,,School Leadership,,,-0.06,,,General Fund,
338813,,PROGRAM FOR INTELLECTUALLY GIFTED STUDENTS: CATEGORY VI,,Teacher,,,,0.4,,HS HISTORY ,,86925.6,,,General Fund,
247382,SUPPLIES,STAFF DEVELOPMENT,STAFF DEVELOPMENT,,,,PROF. LEARNING,,IMPROVEMENT OF INSTR SERV,,,1656.66,,,General Fund,
68665,Salaries And Wages For Teachers And Other Professi,Basic Educational Services,Student Success Initiative Grant,"TEACHER, REGULAR",Instruction And Curriculum,Extended Day,School ,,Instruction,TEACHER BACHELOR,Basic Educational Services - District Objective ,208.43000435599998,,,Intensive Reading Instruction Initiative Grant,EXTENDED DAYS
332428,Salaries And Wages For Teachers And Other Professi,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""","TEACHER, REGULAR",Instruction And Curriculum,Extended Year,Summer School,,Instruction,TEACHER BACHELOR,,1563.63351215,,,"""Title  Part A Improving Basic Programs""",EXTENDED YEAR
274622,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,"Teacher, Short Term Sub ",,,,0.00215517241379,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,54.823969233999996,,Regular,,INSTRUCTIONAL STAFF
30031,SUPPLIES,"ARRA - IDEA Title VI,B Flow Thru funds",TITLE VIB FLOWTHRU ARRA OF ,,,,ADMIN. SERVICES,,PUPIL SERVICES,,,-1376.03,,,Special Education,
230595,SALARIES OF PART TIME EMPLOYEE,GENERAL ELEMENTARY EDUCATION,LEVY OVERRIDE,Computer Lab Technician ,,,,,COMPUTERS FOR CHILDREN TECHNOL,PARAPROFESSIONAL,,539.30608,,Regular,,REGULAR INSTRUCTION
287063,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,School ,,School Leadership,,,436.86738043599996,,,General Fund,
104945,Contracted Maintenance And Repair,Undistributed,,,,Computer Drop Installations,School ,,Facilities Maintenance And Operations,,,1235.95,,,Campus Activity Funds,
255231,Career Ladder,Basic Educational Services,,CL ,,General,School ,,Instruction,,,3276.85535327,,,General Fund,
335367,Professional Salaries,Basic Educational Services,,T-EL ART,,General,School ,0.67,Instruction,,,37672.9710917,,,General Fund,
304352,EMPLOYEE BENEFITS,GENERAL MIDDLE/JUNIOR HIGH SCH,GENERAL FUND,Teacher Secondary (Middle) ,,,,,CLASS-SIZE RELIEF FUND,PROFESSIONAL-INSTRUCTIONAL,,84.58000000000001,,Regular,,REGULAR INSTRUCTION
214617,EMPLOYEE BENEFITS,STAFF SERVICES,GENERAL FUND,"Teacher, Elementary ",,,PERSONNEL-PAID LEAVE,,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,,UNASSIGNED PERS/PAID LEAVES,n/a,,CENTRAL
261180,SERVICES PURCH FROM OTHR SOURC,FOOD PREPARATION/SERVING,FOOD SERVICE FUND,(blank),,,,,NON-PROJECT,UNDESIGNATED,,1072.02,FOOD SERVICES,Turnaround,,FOOD SERVICES OPERATIONS
87619,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,ELA General Assignment ,,,,,EMPLOYEE RETIREMENT,UNDESIGNATED,,113.19,,n/a,,EMPLOYEE BENEFITS
323207,,,,,,,,,,,,73.89,,,,
370901,General Supplies,Special Education,,,,Special Education,School ,,Instruction,,,1694.16,,,General Fund,
418236,Food/Refreshment,Undistributed,,,,General,Visual Arts,,Curriculum & Instructional Staff Development,,,-0.42,,,General Fund,
442904,Other Travel/Meeting Expense,,Support Services - Administration,,,Travel Mileage/Meeting Expense *,,,Office Of The Superintendent Services*,,,-3700.42,,,Special Trust,STRAT PLANNING
258109,Professional Salaries,Basic Educational Services,,T-HS MATH,,General,School ,1.0,Instruction,,,53438.2902162,,,General Fund,
324283,Professional Salaries,State Comp.Ed.-Support Title I Campuses,,ELEM ASST PRIN,,General,School ,0.5,School Leadership,,,35096.9966978,,,Title I- Part A,
358243,Extra Duty/Signing Bonus Pay,Undistributed,,,,General,Early Childhood,,Instruction,,,1.13,,,General Fund,
437839,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, BASKETBALL",,General,School ,,Cocurricular & Extra Curricular Activities,,,2075.71505707,,,Athletics,
342969,Rental: Furniture & Equipment,Special Education,,,,General,ABD,,Instruction,,,198.94,,,General Fund,
324716,ADDITIONAL/EXTRA DUTY PAY/STIP,GENERAL K-8 EDUCATION,LEVY OVERRIDE,Teacher,,,,,SCHOOL TUTORIAL PROGRAM,PROFESSIONAL-INSTRUCTIONAL,,2012.10248,,Regular,,REGULAR INSTRUCTION
128800,Professional Salaries,Accelerated Education,,INSTRUCT COACH,,Campus Equity,School ,0.5,Curriculum & Instructional Staff Development,,,27717.5433978,,,Literacy Initiative (Effective ,
350587,Personal Services - Education Assistants,Support - Regular Instruction,,KINDERGARTEN INTERVENTION TA,,,,1.0,,EDUC ASST  - ELEM,Regular Instructional Support,30252.177619700004,,,General Purpose School,
182316,Extra Duty/Signing Bonus Pay,Accelerated Education,,NATIONAL BOARD,,National Board,Social Emotional Learning,,Curriculum & Instructional Staff Development,,,2184.99059892,,,General Fund,
70710,EMPLOYEE BENEFITS,EARLY CHILDHOOD,ITEMGD PRESCHOOL PROGRAM,"Teacher,Retrd Shrt Term Sub ",,,,,ELPA - PRESCHOOL PROG,PROFESSIONAL-INSTRUCTIONAL,,5.89,,Regular,,REGULAR INSTRUCTION
293349,Extra Duty/Signing Bonus Pay,Athletics and Related,,GOLF COACH,,General,School ,,Cocurricular & Extra Curricular Activities,,,2013.65332055,,,Athletics,
22903,Coaching Supplement,,,CROSS COUNTRY ASST.,,,,,,,,1200.53,,,,
353774,Extra Duty Pay/Overtime For Support Personnel,Services To Students With Disabilities (Special Education),State Deaf Education,"CLASSROOM AIDE, SPECIAL ED.",Instruction And Curriculum,Extra Duty Pay/Overtime For Support Personnel,School ,,Instruction,LICENSED DEAF ED INTERPRETER,Extra Duty Salary,366.82,,,State Deaf Education,MISCELLANEOUS 
436625,CONTRACTED CRAFT OR TRADE SERVICES *,,Support Services - Administration,,,Contracted Craft Or Trade Services *,,,State and Federal Projects Coordination Services*,,,-3955.78,,,Title I - Disadvantaged Children/Targeted Assistance,ESEA TITLE I
230498,,Special Education,,,,Hearing Impaired,ABD,,Instruction,,,-0.46,,,IDEA-B-Deaf,
361477,,Basic Educational Services,,,,General,School ,,Instruction,,,10665.23,,,General Fund,
384805,,,LOCAL,Teacher,,,,1.0,,,,86907.6435769,GENERAL EDUCATION,,,
384416,Employee Travel  (including In-District and Out-of-District),State Comp.Ed.-Support Title I Campuses,,,,General,School ,,School Leadership,,,4000.01,,,Title I- Part A,
368415,EMPLOYEE BENEFITS,GENERAL K-8 EDUCATION,GENERAL FUND,Reading & Writing Asst ,,,,,NON-PROJECT,PARAPROFESSIONAL,,24.6,,Regular,,REGULAR INSTRUCTION
108935,General Supplies,Special Education,,,,Special Education,School ,,Instruction,,,264.29,,,IDEA-B Formula,
178758,Purchased Services,,Support Services - Instructional Staff,,,Purchased Services,,,Instruction And Curriculum Development Services *,,,4499.86,,,Special Trust,ITEMS-VARIOUS GRANTS
237975,Food ,Undistributed,,,,General,School ,,Food Services,,,61295.94,,,Nat'l Schl Breakfast & Lunch Prog.,
152344,Extra Duty/Signing Bonus Pay,State Comp.Ed.-Support Title I Campuses,,,,Account For Learning,School ,,Instruction,,,10959.8943198,,,General Fund,
115575,Reading Materials including Library Books,Career and Technology,,,,Comm/Digital Media,School ,,Instruction,,,94.29,,,General Fund,
61316,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Principal, Asst High Sch ",,,,,NON-PROJECT,UNDESIGNATED,,-106.33,,n/a,,EMPLOYEE BENEFITS
408784,Extra Duty Pay/Overtime For Support Personnel,Undistributed,Operations,"TRANSPORTATION,BUS DR. SPEC.ED",Transportation Department,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Transportation,BUS DRIVER,transportation - Second Runs,42.74,,,General Operating Fund,EXTRA RUN
273831,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE,MIDDLE SCHOOL PROGRAM  6-8,MIDDLE SCHOOL PROGRAM 6-8,,,,,,INSTRUCTION,,,593.26,,,General Fund,
3220,Extra Duty/Signing Bonus Pay,Career and Technology,,EXTRA CLASS,,General,School ,,Instruction,,,8554.76031276,,,General Fund,
327182,,,"SUMMER ED, ARTS & SPORTS - SEAS",Aide (Afterschool),,,OFC COM & ED PROG-AFTER SCHOOL AIDES,0.025,,,,781.02,AFTERSCHOOL PROGRAMS,,,
172545,Field Trips,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,5999.62,,,Title I- Part A,
39848,Professional Salaries,Undistributed,,ACADEMIC DEAN,,General,School ,1.0,School Leadership,,,83997.404205,,,General Fund,
281504,COMPUTER SOFTWARE,GENERAL ELEMENTARY EDUCATION,DISTRICT SPECIAL REVENUE FUNDS,(blank),,,,,FOUNDATION GRANT,UNDESIGNATED,,590.3100000000002,,Regular,,REGULAR INSTRUCTION
275346,Salaries for Support Personnel,Undistributed,,FOOD PROD SP IV,,General,School ,0.875,Food Services,,,23305.595741200006,,,Nat'l Schl Breakfast & Lunch Prog.,
58005,Professional Salaries,Basic Educational Services,, LANG ARTS,,General,School ,1.0,Instruction,,,55755.0226895,,,General Fund,
213793,Salaries Or Wages For Support Personnel,Undistributed,Operations,"CLERICAL, SCHOOL ADMIN.",All Campus Payroll,Salaries Or Wages For Support Personnel,School ,1.0,School Leadership,SECRETARY,Undistributed,32353.6696376,,,General Operating Fund,REGULAR PAY
315241,EMPLOYER PD MED CONTRIBUTION,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Elementary ",,,,,ARTS ED,PROFESSIONAL-INSTRUCTIONAL,,503.85,,Regular,,REGULAR INSTRUCTION
110144,Misc Operating Expenses,Undistributed,,,,Line Item that is paid with Campus' money,School ,,School Leadership,,,0.61,,,General Fund,
38497,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1.0,Plant Maintenance & Operations,,,33709.6298301,,,General Fund,
229878,Personal Services - Other Personnel,District Administration,,,,,,0.0,,RETIREE SUBSTITUTE TEACHER,Office of Accountability,33.8299,,,General Purpose School,
68090,Salaries And Wages For Teachers And Other Professi,"""Title I, Part A Schoolwide Activities Related To State Comp",State Ed. Allotment,"TEACHER, REGULAR",Special Programs,Extended Week,School ,,Instruction,TEACHER BACHELOR,Science Extended Day,130.53599178700006,,,General Operating Fund,EXTENDED DAYS
283276,Salaries And Wages For Substitute Support Personnel,Services To Students With Disabilities (Special Education),Operations,TEACHER SUBSTITUTE POOL,All Campus Payroll,Substitutes for Support Personnel,School ,,Instruction,NON DEGREED SUBSTITUTE,,82.5073212004,,,General Operating Fund,REGULAR PAY
378182,Professional Salaries,Prekindergarten,,T-EL PK BIL,,Pre-K,School ,1.0,Instruction,,,52514.95619890001,,,General Fund,
441782,Extra Duty Pay/Overtime For Support Personnel,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""","CLASSROOM AIDE, REGULAR",Instruction And Curriculum,Extra Duty Pay/Overtime For Support Personnel,School ,,Instruction,INSTRUCTIONAL AIDE,Extra Duty,32.782875089899996,,,"""Title  Part A Improving Basic Programs""",EXTENDED DAYS
237777,Salaries for Support Personnel,Undistributed,,ATTEND SPEC III,,General,School ,1.0,School Leadership,,,31650.9643532,,,General Fund,
13824,Part-Time Hourly,Undistributed,,,,Community Ed-English/Sec Lang,Core Curriculum,,Instructional Leadership,,,72099.307772,,,General Fund,
446795,Professional Salaries,Bilingual Education,,T-EL 4TH BIL,,General,School ,1.0,Instruction,,,56227.69819650001,,,General Fund,
318574,Software,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,0.15,,,General Fund,
303353,OTHER PURCHASED SERVICES,OTHER GENERAL EDUCATION,LEVY OVERRIDE,(blank),,,,,TEXT BOOKS,UNDESIGNATED,,27930.69,,Charter,,REGULAR INSTRUCTION
22495,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1.0,Instruction,,,28485.644403600003,,,General Fund,
202339,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1.0,Instruction,,,31092.7592828,,,General Fund,
184059,Salaries for Support Personnel,Undistributed,,CUST CREW LDR,,General,Administration Building,1.0,Plant Maintenance & Operations,,,37786.9080477,,,General Fund,
167058,Extra Duty/Signing Bonus Pay,Accelerated Education,,,,After-School Detention,School ,,School Leadership,,,11627.4919934,,,General Fund,
312814,Salaries for Support Personnel,Undistributed,,FOOD PROD SP II,,General,School ,0.78125,Food Services,,,21382.6203091,,,Nat'l Schl Breakfast & Lunch Prog.,
425145,Professional Salaries,Basic Educational Services,, LATIN,,General,School ,1.0,Instruction,,,65004.0729856,,,General Fund,
304832,Professional Salaries,,,Occupational Therapist,,,Special Education,1.0,,,,63425.76254060001,,,General Fund,
91870,SALARIES OF REGULAR EMPLOYEES,SUPPORT SERVICES-SCHOOL ADMIN,GENERAL FUND,Secretary II ,,,,0.994199964639,NON-PROJECT,OFFICE/ADMINISTRATIVE SUPPORT,,38610.8434367,,Regular,,SCHOOL ADMINISTRATION
440192,Professional Salaries,Bilingual Education,,T-EL 2ND BIL,,General,School ,1.0,Instruction,,,56226.98819650001,,,General Fund,
60092,General Supplies,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,School Leadership,,,-0.01,,,Title I- Part A,
129322,Personal Services - Other Compensation,Support - TAP,,,,,,0.0,,TIME CARD CERTIFIEDAddl,Teacher Advancement Program (TAP),2713.27,,,ITEMFA Schools Partnership,TEACHER ADVANCEMENT PROGRAM
240456,Professional Salaries,Bilingual Education,,T-EL KIN ESL,,General,School ,1.0,Instruction,,,53190.1035743,,,General Fund,
360696,SALARIES OF REGULAR EMPLOYEES,GENERAL K-8 EDUCATION,GENERAL FUND,"Teacher, Elementary ",,,,0.419917073549,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,18597.546523900004,,Regular,,REGULAR INSTRUCTION
335862,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,School Leadership,,,732.402780682,,,General Fund,
80771,Extra Duty/Signing Bonus Pay,Undistributed,,,,General,School ,,Curriculum & Instructional Staff Development,,,546.119225545,,,General Fund,
442403,Salaries for Support Personnel,Special Education,,BUS DRIVER,,General,Transportation Office,1.0,Student Transportation,,,34460.4863717,,,General Fund,
153117,Extra Duty/Signing Bonus Pay,Athletics and Related,,"AC, SOCCER",,General,School ,,Cocurricular & Extra Curricular Activities,,,4533.00415357,,,Athletics,
439083,Career Ladder,Bilingual Education,,CL ,,General,School ,,Instruction,,,3277.28535327,,,General Fund,
389575,Salaries for Support Personnel,Special Education,,BUS MONITOR,,General,Transportation Office,1.0,Student Transportation,,,27386.859003900005,,,General Fund,
