,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
260831,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,New Library Books,,Support Services - Instructional Staff,,,,Library Books *,,,School Library Services *,,,1076.72,,General,SCHOOL BASED MANAGEMENT
261206,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,BUS DRIVER                    ,,,,TRANSPORTATION                ,0.0,PUPIL TRANSPORTATION SERVICES ,,,14.086,,GENERAL FUND                  ,
261476,Development & Fundraising,Business Services,Leadership & Management,Non-School,Poverty,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,ADM/PROF,Support Services - Administration,SOLUTION SPECIALIST,,,,CHIEF ACADEMIC OFFICER,1.0,Education Services*,,,67486.51407959999,,Title I - Disadvantaged Children/Targeted Assistance,ADMIN
261834,School Administration,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,RENTAL OF EQUIPMENT AND VEHICLES,,PRIMARY GRADES PROGRAM ,,,,,,,INSTRUCTION,,,10868.59,PRIMARY GRADES PROGRAM ,General Fund,
262485,Professional Development,ISPD,School on Central Budgets,Non-School,Unspecified,Guidance Counselor,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,TEACHER LEARNING & LEADERSHIP,GENERAL FUND,"School Counselor, High Sch ",n/a,,,TEACHER LEARNING & LEADERSHIP,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,247.66088,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
262785,School Supervision,Leadership,Leadership & Management,Non-School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL SUPPORT TEAMS,GENERAL FUND,"Spec Ed Asst, Mild/Moderate ",n/a,,,ES TEAM ,,UNALLOC BUDGETS/SCHOOLS,,PARAPROFESSIONAL,615.5065599999998,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
262791,Professional Development,ISPD,School Reported,School,Unspecified,Instructional Coach,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,LEVY OVERRIDE,"Facilitator,Elem ",Regular,,,,,FACILITATOR,,PROFESSIONAL-INSTRUCTIONAL,263.09168,LITERACY COACHES,,INSTRUCTIONAL STAFF
262901,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,"KINDERGARTEN, QBE",,,,,,,INSTRUCTION,,,32.940000000000005,KINDERGARTEN,General Fund,
263431,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating,CONSULTANT                    ,,,,,,,GRANT SERVICES                ,,ADMIN TECHNOLOGY SVCS         ,MIS DEPT (CORE)               ,,403.08,,GENERAL FUND                  ,EXEC DIR OF IT                
263483,Curriculum Development,ISPD,Shared Services,Non-School,PreK,Other,Benefits,PreK,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,EARLY EDUCATION,ITEMGD PRESCHOOL PROGRAM,SFPC Liaison Specialist ,n/a,,,EARLY CHILDHOOD EDUCATION,,ELPA - PRESCHOOL PROG,,PROFESSIONAL-OTHER,125.81,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
263811,Substitute Compensation,Instruction,School Reported,School,At Risk,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,State Ed. Allotment,TEACHER SUBSTITUTE POOL,,,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,DEGREED SUBSTITUTE,47.2989930555,"""Title I, Part A Schoolwide Activities Related To State Comp",General Operating Fund,REGULAR PAY
264129,Untracked Budget Set-Aside,Untracked Budget Set-Aside,School on Central Budgets,Non-School,Special Education,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating,CONSULTANT                    ,,,,,,,ESE                           ,,EXCEPTIONAL                   ,,,610244.2699999999,,GENERAL FUND                  ,SAI-EBD CONTRACT              
264456,Professional Development,ISPD,Shared Services,Non-School,ELL,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,FEDERAL GDPG FUND - FY ,"Teacher, Short Term Sub ",n/a,,,ENGLISH FOR SPEAKERS OF OTHER,0.004310344827590001,TITLE III  ELA,,PROFESSIONAL-INSTRUCTIONAL,110.037938468,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
264473,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating,OUT OF COUNTY TRAVEL          ,,,,,,,GRANT SERVICES                ,,STAFF SERVICES                ,,,253.48,ED TECHNOLOGY CONFERENCE   ,GENERAL FUND                  ,GRANT SERVICES                
264926,Aides Compensation,Instruction,School Reported,School,PreK,TA,Base Salary/Compensation,PreK,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,DISTRICT SPECIAL REVENUE FUNDS,Early Childhood Education ,Regular,,,,,MONTESSORI TUITION BASED,,PARAPROFESSIONAL,538.53608,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
265171,Food Services,O&M,Shared Services,Non-School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,Fuel,,Food Service Operations,,,,Supplies And Materials For Operation And Repair Of Motor,,,"Food Purchasing, Preparation And Dispensing Services *",,,53028.96,,Food Services,ELEM LUNCH
266315,Professional Development,ISPD,School Reported,School,Poverty,Instructional Coach,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""",SKILLS SPECIALIST,,Regular Salary,Salaries And Wages For Teachers And Other Professi,School ,1.0,Instruction,Instruction And Curriculum,TEACHER BACHELOR,53361.48019530001,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",REGULAR PAY
266538,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,CUSTODIAL-SCHOOLS,GENERAL FUND,Custodial Helper - Day ,Regular,,,,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",687.3399999999998,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
266837,Student Assignment,Leadership,Shared Services,Non-School,Unspecified,Sec/Clerk/Other Admin,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Secretary - Hourly ,n/a,,,SCHOOL CHOICE,,EMPLOYEE RETIREMENT,,UNDESIGNATED,272.85,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
266848,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,MAINTENANCE,LEVY OVERRIDE,"Supv, Welding/Sheet Metal ",n/a,,,MAINTENANCE,,NON-PROJECT,,PROFESSIONAL-OTHER,844.81,MAINTENANCE - WELDING/SHEETMTL,,OPERATION AND MAINT OF PLANT
267062,Professional Development,ISPD,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,"TEACHER, LANG ARTS-HIGH       ",,,,School ,,INST STAFF TRAINING SVCS      ,,,224.49,,FED THRU STATE-CASH ADVANCE   ,TITLE II PART A               
267299,Food Services,O&M,Shared Services,School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Child Nutrition,"CAFETERIA EMPLOYEE, FOOD SERV.",,Undistributed,Extra Duty Pay/Overtime For Support Personnel,School ,,Food Services (Child Nutrition Fund Only),Child Nutrition,HS FOOD SERVICE WORKER ,300.72,Undistributed,National School Breakfast And Lunch Program,ADDL REGULAR PAY-NOT SMOOTHED
267851,Instructional Materials & Supplies,Instruction,School Reported,School,Gifted,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,GENERAL SUPPLIES,,GENERAL FUND,(blank),Regular,,,,,STATE - GIFTED AND TALENTED,,UNDESIGNATED,1006.58,GIFTED AND TALENTED,,REGULAR INSTRUCTION
267959,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,CAPITALIZED COMPUTER HARDWARE ,,,,,,,School ,,ADMIN TECHNOLOGY SVCS         ,,,6041.48,,GENERAL FUND                  ,MOBILE RADIO/CAMERA PROJECT   
268507,Food Services,O&M,School Reported,School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,FOOD SERVICES,FOOD SERVICE FUND,"Manager, Food Service II ",Regular,,,,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",2684.55768,FOOD PREPARATION/SERVING,,FOOD SERVICES OPERATIONS
268626,Utilities,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating,COMMUNICATION,,TITLE I-A ARRA OF  TARGETED ASSISTANCE,,,,,,,OTHER SUPPORT SERVICES,,,-0.13,ARRA - Title I Grants to LEAs,Title I,
269402,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,General Supplies,"""Performing Arts Department, E",,,,choir,Performing Arts - Music,School ,,Instruction,Performing Arts Department,,0.06,Basic Educational Services,General Operating Fund,
269635,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,,School ,0.0,BASIC (FEFP K-12)             ,,,40.78,,GENERAL FUND                  ,
270056,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,GENERAL FUND,Teacher Secondary (Middle) ,Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,712.5799999999998,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
270308,Aides Compensation,Instruction,School Reported,School,PreK,TA,Base Salary/Compensation,PreK,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,DISTRICT SPECIAL REVENUE FUNDS,Early Childhood Education ,Regular,,,,0.169047619048,MONTESSORI TUITION BASED,,PARAPROFESSIONAL,2967.0767809500007,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
270425,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Social Worker,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,PSYCHOLOGICAL SERVICES,GENERAL FUND,Social Worker ,n/a,,,SOCIAL WORK SERVICES,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,814.84,SOCIAL WORK SERVICES,,STUDENTS
270555,Security & Safety,O&M,School on Central Budgets,Non-School,Unspecified,School Monitor/Security,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,SECURITY OFFICER,,,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Security And Monitoring Services,Performing Arts Department,POLICE PATROL MAN,1386.67,Athletics And Related Activities,General Operating Fund,OVERTIME
270757,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,Operations,TEACHER SUBSTITUTE POOL,,Basic Educational Services - District Objective ,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,NON DEGREED SUBSTITUTE,82.9739870688,Basic Educational Services,General Operating Fund,REGULAR PAY
270776,Human Resources,Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,PERSONNEL SERVICES,GENERAL FUND,"Manager, Human Resources ",n/a,,,HUMAN RESOURCES,,NON-PROJECT,,ADMINISTRATOR,1555.86,STAFF SERVICES,,CENTRAL
270965,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Social Worker,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,Social Worker ,Turnaround,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,520.05,SOCIAL WORK SERVICES,,STUDENTS
271282,School Supervision,NO_LABEL,Leadership & Management,Non-School,NO_LABEL,Area Officers,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Area Superintendent,,,,ADMIN. SERVICES,1.0,,,NONE ,178111.84,Misc,General Fund,
271537,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary ",Regular,,,,,LIGHTS ON AFTER SCHOOL ,,PROFESSIONAL-INSTRUCTIONAL,241.11,AFTER SCHOOL PROGRAMS,,COCURRICULAR ED/ACTIVITIES
272219,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Short Term Sub ",n/a,,,,,NON-PROJECT,,UNDESIGNATED,-12.92,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
272345,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Assistant Principals,,,ASSISTANT PRINCIPAL - SEC,,Office of Principal,,,0.0,,,ASST PRINCIPAL,7806.5,Principal's Office,General Purpose School,
272920,Professional Development,ISPD,School Reported,School,Unspecified,Non-Position,Travel & Conferences,NO_LABEL,PreK-12 Operating,TRAVEL AND REGISTRATION,,GENERAL FUND,(blank),Regular,,,,,NON-PROJECT,,UNDESIGNATED,345.5,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
273285,Teacher Compensation,Instruction,School on Central Budgets,Non-School,PreK,Teacher,Other Compensation/Stipend,PreK,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,EARLY EDUCATION,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary ",n/a,,,EARLY CHILDHOOD EDUCATION,,TUITION BASED - ECE,,PROFESSIONAL-INSTRUCTIONAL,48.905120000000004,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
273654,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Social Worker,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,Social Worker ,Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,2725.816960000001,SOCIAL WORK SERVICES,,STUDENTS
274030,Security & Safety,NO_LABEL,School Reported,School,NO_LABEL,Area Officers,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,School Resource Officer,,,,,1.0,,,RESOURCE OFFICER (NO SUB REQD) ,52725.31,Misc,General Fund,
274308,Extended Time & Tutoring,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,AFTERSCHOOL PROGRAMS,"SUMMER ED, ARTS & SPORTS - SEAS",Teacher (Afterschool),,,,OFFICE OF COMMUNITY & EDUCATION PROGRAMS,0.025,,,,2225.65037034,,,
274465,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher, Super Sub D/D ",Turnaround,,,,0.0280172413793,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,1076.36353939,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
274590,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,Operations,TEACHER SUBSTITUTE POOL,,,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,CERTIFIED SUBSTITUTE,698.042563856,Bilingual Education And Special Language Programs,General Operating Fund,REGULAR PAY
274918,Food Services,O&M,School Reported,School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER SUPPORT PERSONNEL       ,,,"MANAGER III, FOOD SERVICE     ",,,,School ,1.0,FOOD SERVICE                  ,,,42343.1210867,,FOOD SERVICES                 ,
275099,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER SUPPORT PERSONNEL       ,,,GRANTS SPECIALIST             ,,,,GRANT SERVICES                ,0.181399510727,"PLANNING,RES,DEV,& EVAL       ",,,16354.782614500002,,GENERAL FUND                  ,
275336,Extended Time & Tutoring,Instruction,School Reported,School,Poverty,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""","TEACHER, REGULAR",,,Extended Day,School ,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,156.69455765700002,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED DAYS
276037,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Physical Therapist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,SPEECH & LANGUAGE,GENERAL FUND,Physical Therapist ,n/a,,,SPECIAL EDUCATION,0.198917797173,SPECIAL EDUCATION - ITINERANT,,PROFESSIONAL-INSTRUCTIONAL,19178.1524852,SPECIAL EDUCATION-PT,,SPECIAL EDUCATION
276394,Governance,Leadership,Leadership & Management,Non-School,Unspecified,Non-Position,Other Non-Compensation,NO_LABEL,PreK-12 Operating,MISCELLANEOUS EXPENDITURES,OFFICE OF THE SUPERINTENDENT,DISTRICT SPECIAL REVENUE FUNDS,(blank),n/a,,,SUPERINTENDENT OF SCHOOLS,,PEPSI GRANT,,UNDESIGNATED,15570.26,OFFICE OF THE SUPERINTENDENT,,GENERAL ADMINISTRATION
278491,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Unspecified,Nurse,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Nurse ,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-972.22,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
278634,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,NON-CAPITALIZED COMPUTER HARDW,,,,,,,EDUC FOUNDATION DIRECTOR      ,,"PLANNING,RES,DEV,& EVAL       ",,,2333.37,,GENERAL FUND                  ,EDUC FOUNDATION DIRECTOR      
278671,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Principal, Asst Middle Sch ",Regular,,,,,NON-PROJECT,,ADMINISTRATOR,4547.9000000000015,SUPPORT SERVICES-SCHOOL ADMIN,,SCHOOL ADMINISTRATION
278855,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Custodial Helper - Day ,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-1.79,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
279059,School Supervision,NO_LABEL,NO_LABEL,Non-School,NO_LABEL,Substitute,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,,,,,,,,ADMIN. SERVICES,,,,,1000.32,,,
279125,Untracked Budget Set-Aside,Untracked Budget Set-Aside,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,WORKERS' COMPENSATION         ,,,SUB TEACHER ALL               ,,,,School ,0.0,INST STAFF TRAINING SVCS      ,,,0.77,FDLRS                         ,GENERAL FUND                  ,NATIONAL LITERACY PROJECT     
279921,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",Personal Services - Other Personnel,,,SECRETARY ADMIN,,Adult Education,,,0.0,,,ADM SECRETARY,8729.87698894,Instruction - Regular,School Federal Projects,ADULT EDUCATION
280145,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,FEDERAL GDPG FUND - FY ,Speech Language Pathologst ,n/a,,,SPECIAL EDUCATION,0.200014492408,TITLE VI-IDEA B-MAIN,,PROFESSIONAL-INSTRUCTIONAL,11996.316402299995,SPECIAL ED-S/L-CHILD FIND,,SPECIAL EDUCATION
280335,Aides Compensation,Instruction,School Reported,School,PreK,TA,Base Salary/Compensation,PreK,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,DISTRICT SPECIAL REVENUE FUNDS,Early Childhood Education ,Regular,,,,0.396428571429,MONTESSORI TUITION BASED,,PARAPROFESSIONAL,6290.84807096,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
280692,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Custodians,,,CUSTODIAN,,Operation of Plant,,,1.0,,,CUSTODIAN,26201.7024341,Operations,General Purpose School,
280693,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Non-Position,Contracted Services,Non PreK,PreK-12 Operating,Garbage Removal and Cleaning Services,,Operation and Maintenance of Plant Services,,,,Property Services (Other Than Utilities) *,,,Care and Upkeep of Building Services,,,164125.62,,General,FACILITIES ADMINISTRATION
281448,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Non-Position,Other Non-Compensation,NO_LABEL,PreK-12 Operating,TRANSPORTATION/FIELD TRIPS,,FEDERAL GDPG FUND - FY ,(blank),Regular,,,,,COMMUNITY DEVELOPMENT BLOCK,,UNDESIGNATED,200.29,GENERAL MIDDLE/JUNIOR HIGH SCH,,REGULAR INSTRUCTION
281655,Physical Health & Services,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,GENERAL SUPPLIES,SCHOOL NURSE SERVICES,DISTRICT SPECIAL REVENUE FUNDS,(blank),n/a,,,SCHOOL NURSE SERVICES,,WELLNESS COORDINATOR,,UNDESIGNATED,431.95,OTHER GENERAL EDUCATION,,REGULAR INSTRUCTION
282357,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,NON-CAPITALIZED  EQUIP        ,,,,,,,EDUC FOUNDATION DIRECTOR      ,,"PLANNING,RES,DEV,& EVAL       ",,,100.81,,GENERAL FUND                  ,EDUC FOUNDATION DIRECTOR      
282376,Teacher Compensation,Instruction,School Reported,School,PreK,Teacher,Benefits,PreK,PreK-12 Operating,EMPLOYEE BENEFITS,,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary ",Regular,,,,,TUITION BASED - ECE,,PROFESSIONAL-INSTRUCTIONAL,245.77,EARLY CHILDHOOD,,REGULAR INSTRUCTION
282586,Professional Development,ISPD,Leadership & Management,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,"TEACHER, COMPUTER ED-E        ",,,,CHIEF ACADEMIC OFFICER        ,,INST STAFF TRAINING SVCS      ,USING DATA HUMAN CAPITAL DECIS,,519.06,COMMON CORE STATE STANDARDS   ,ARRA - RACE TO THE TOP        ,RACE TO THE TOP               
282671,Parent & Community Relations,Pupil Services & Enrichment,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,School Community Liaison ,Turnaround,,,,0.662830267559,NON-PROJECT,,PROFESSIONAL-OTHER,21778.269387,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
282906,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Physical Therapist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,FEDERAL GDPG FUND - FY ,Occ/Physical Therapist Tech ,n/a,,,SPECIAL EDUCATION,,TITLE VI-IDEA B-MAIN,,PARAPROFESSIONAL,3008.38,SPECIAL EDUCATION,,SPECIAL EDUCATION
283141,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Poverty,Social Worker,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Other Personnel,,,,,Title I - Supervisors,,,0.0,,,Para Professional Social Worke,4182.551419040001,Support - Regular Instruction,School Federal Projects,ESEA TITLE I DISADVANTAGED
283215,Parent & Community Relations,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Community School Child Care ,n/a,,,COMMUNITY EDUCATION,,EMPLOYEE RETIREMENT,,UNDESIGNATED,89.96,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
283808,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,GENERAL SUPPLIES,,GENERAL FUND,(blank),Regular,,,,,NON-PROJECT,,UNDESIGNATED,2219.53,COUNSELING - CAREER,,COCURRICULAR ED/ACTIVITIES
284552,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Physical Therapist,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Physical Therapist,,,,,0.2,,,PHYSICAL THERAPIST ,15912.712,SPECIAL EDUCATION CATEGORY V,General Fund,
284677,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplemental Textbooks,,Special Instruction,,,,Textbooks *,,,Disadvantaged Youth *,,,-1581.18,,Title I - Disadvantaged Children/Targeted Assistance,TITLE  SCHOOLWIDE
285110,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Secretary I ,n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,356.42,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
